"filename", "language", "CSS", "JSON", "JavaScript", "PHP", "XML", "Markdown", "SCSS", "JavaScript React", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\ProyectoFinalSW1\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\laragon\www\ProyectoFinalSW1\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 22, 67
"c:\laragon\www\ProyectoFinalSW1\app\Console\Kernel.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 0, 0, 7, 6, 28
"c:\laragon\www\ProyectoFinalSW1\app\Exceptions\Handler.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 9, 5, 31
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 20, 7, 41
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 10, 5, 23
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 20, 7, 41
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 0, 33, 0, 0, 0, 0, 0, 32, 9, 74
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 15, 6, 31
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 0, 20, 7, 43
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\Controller.php", "PHP", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\CuentoController.php", "PHP", 0, 0, 0, 66, 0, 0, 0, 0, 0, 5, 23, 94
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\GeneroController.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 24, 52
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 5, 29
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\PaginaController.php", "PHP", 0, 0, 0, 97, 0, 0, 0, 0, 0, 11, 41, 149
"c:\laragon\www\ProyectoFinalSW1\app\Http\Controllers\ProfileController.php", "PHP", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 15, 53
"c:\laragon\www\ProyectoFinalSW1\app\Http\Kernel.php", "PHP", 0, 0, 0, 40, 0, 0, 0, 0, 0, 21, 7, 68
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 4, 18
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 6, 31
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 4, 20
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\TrustHosts.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 4, 21
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 5, 29
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 11, 4, 23
"c:\laragon\www\ProyectoFinalSW1\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\ProyectoFinalSW1\app\Models\Cuento.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 18, 50
"c:\laragon\www\ProyectoFinalSW1\app\Models\Genero.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 23
"c:\laragon\www\ProyectoFinalSW1\app\Models\Pagina.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 15, 15, 47
"c:\laragon\www\ProyectoFinalSW1\app\Models\User.php", "PHP", 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 10, 43
"c:\laragon\www\ProyectoFinalSW1\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 8, 5, 25
"c:\laragon\www\ProyectoFinalSW1\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 0, 11, 0, 0, 0, 0, 0, 11, 5, 27
"c:\laragon\www\ProyectoFinalSW1\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 5, 20
"c:\laragon\www\ProyectoFinalSW1\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 0, 21, 0, 0, 0, 0, 0, 12, 6, 39
"c:\laragon\www\ProyectoFinalSW1\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 0, 24, 0, 0, 0, 0, 0, 10, 7, 41
"c:\laragon\www\ProyectoFinalSW1\bootstrap\app.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 30, 9, 56
"c:\laragon\www\ProyectoFinalSW1\composer.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 71
"c:\laragon\www\ProyectoFinalSW1\composer.lock", "JSON", 0, 8301, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8302
"c:\laragon\www\ProyectoFinalSW1\config\adminlte.php", "PHP", 0, 0, 0, 224, 0, 0, 0, 0, 0, 282, 41, 547
"c:\laragon\www\ProyectoFinalSW1\config\app.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 131, 31, 190
"c:\laragon\www\ProyectoFinalSW1\config\auth.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 0, 74, 14, 116
"c:\laragon\www\ProyectoFinalSW1\config\broadcasting.php", "PHP", 0, 0, 0, 36, 0, 0, 0, 0, 0, 23, 13, 72
"c:\laragon\www\ProyectoFinalSW1\config\cache.php", "PHP", 0, 0, 0, 59, 0, 0, 0, 0, 0, 34, 19, 112
"c:\laragon\www\ProyectoFinalSW1\config\cors.php", "PHP", 0, 0, 0, 3, 0, 0, 0, 0, 0, 29, 3, 35
"c:\laragon\www\ProyectoFinalSW1\config\crud.php", "PHP", 0, 0, 0, 20, 0, 0, 0, 0, 0, 35, 10, 65
"c:\laragon\www\ProyectoFinalSW1\config\database.php", "PHP", 0, 0, 0, 83, 0, 0, 0, 0, 0, 47, 22, 152
"c:\laragon\www\ProyectoFinalSW1\config\filesystems.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 0, 32, 13, 77
"c:\laragon\www\ProyectoFinalSW1\config\hashing.php", "PHP", 0, 0, 0, 12, 0, 0, 0, 0, 0, 32, 9, 53
"c:\laragon\www\ProyectoFinalSW1\config\logging.php", "PHP", 0, 0, 0, 79, 0, 0, 0, 0, 0, 34, 19, 132
"c:\laragon\www\ProyectoFinalSW1\config\mail.php", "PHP", 0, 0, 0, 54, 0, 0, 0, 0, 0, 53, 19, 126
"c:\laragon\www\ProyectoFinalSW1\config\queue.php", "PHP", 0, 0, 0, 51, 0, 0, 0, 0, 0, 42, 17, 110
"c:\laragon\www\ProyectoFinalSW1\config\sanctum.php", "PHP", 0, 0, 0, 15, 0, 0, 0, 0, 0, 41, 12, 68
"c:\laragon\www\ProyectoFinalSW1\config\services.php", "PHP", 0, 0, 0, 17, 0, 0, 0, 0, 0, 11, 7, 35
"c:\laragon\www\ProyectoFinalSW1\config\session.php", "PHP", 0, 0, 0, 22, 0, 0, 0, 0, 0, 147, 33, 202
"c:\laragon\www\ProyectoFinalSW1\config\view.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 20, 7, 37
"c:\laragon\www\ProyectoFinalSW1\database\factories\UserFactory.php", "PHP", 0, 0, 0, 23, 0, 0, 0, 0, 0, 11, 5, 39
"c:\laragon\www\ProyectoFinalSW1\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 4, 34
"c:\laragon\www\ProyectoFinalSW1\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 4, 29
"c:\laragon\www\ProyectoFinalSW1\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", 0, 0, 0, 19, 0, 0, 0, 0, 0, 10, 4, 33
"c:\laragon\www\ProyectoFinalSW1\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 4, 33
"c:\laragon\www\ProyectoFinalSW1\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 4, 34
"c:\laragon\www\ProyectoFinalSW1\database\migrations\2023_06_06_030026_create_genero_table.php", "PHP", 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 5, 43
